"Final score rank","contrast","Sgroup_contrast","Kinase Name","Kinase Uniprot ID","Kinase Group","Kinase Family","Median Final score","Mean Significance Score","Mean Specificity Score","Median Kinase Statistic","Mean peptide set size"
57,"DrugA vs Control","U2OS_DrugA vs Control","ROS1","P08922","TYR","Sev",1.32674464410147,0.974839382781206,0.0820447546805613,-0.786773545351024,6
76,"DrugA vs Control","U2OS_DrugA vs Control","RYK","P34925","TYR","Ryk",1.04554110330372,0.738705164075234,0.0720404903787994,-0.712845218816221,5
75,"DrugA vs Control","U2OS_DrugA vs Control","SRC","P12931","TYR","Src",0.993748303789819,0.771102653506927,0.406382093268149,-0.688573313916306,50
40,"DrugA vs Control","U2OS_DrugA vs Control","SRMS","Q9H3Y6","TYR","Src",1.82423061122174,0.938715513951621,0.773000514672424,-0.606537513537637,41
88,"DrugA vs Control","U2OS_DrugA vs Control","SYK","P43405","TYR","Syk",0.494350967225991,0.735756645786389,0.126490210651267,-0.486732713953816,77
17,"DrugA vs Control","U2OS_DrugA vs Control","TEC","P42680","TYR","Tec",2.16663117083304,0.883000815057885,0.890306288734277,-0.816307922076206,40
96,"DrugA vs Control","U2OS_DrugA vs Control","TEK","Q02763","TYR","Tie",0.71076889452642,0.486889255810541,0.0658644451018509,-0.483024523310547,8
16,"DrugA vs Control","U2OS_DrugA vs Control","TNK1","Q13470","TYR","Ack",2.43769389366412,1.06785911020192,1.12802559942226,-1.07285215850839,7
77,"DrugA vs Control","U2OS_DrugA vs Control","TNK2","Q07912","TYR","Ack",1.06191091079844,0.854865824905965,-0.0269877793524094,-0.567721932015537,8
65,"DrugA vs Control","U2OS_DrugA vs Control","TNNI3K","Q59H18","TKL","MLK",1.35492390477475,0.863483082368448,0.487943624224161,-0.764953888734511,10
32,"DrugA vs Control","U2OS_DrugA vs Control","TXK","P42681","TYR","Tec",1.70735160017044,1.09066865908884,0.640502836612721,-0.675691284669188,33
3,"DrugA vs Control","U2OS_DrugA vs Control","TYK2","P29597","TYR","Jak",3.50041500390468,1.64060188523236,1.84981358625299,-1.00239519752386,10
33,"DrugA vs Control","U2OS_DrugA vs Control","TYRO3","Q06418","TYR","Axl",1.61442547825554,1.03406507448342,0.883313779276729,-0.689139332745193,43
12,"DrugA vs Control","U2OS_DrugA vs Control","WEE1","P30291","OTHER","WEE",2.38901918725473,1.27855455476994,1.27185465337642,-1.09115138413995,13
81,"DrugA vs Control","U2OS_DrugA vs Control","YES1","P07947","TYR","Src",0.814952550447482,0.760049176884678,0.294666748434643,-0.672598234571358,34
87,"DrugA vs Control","U2OS_DrugA vs Control","ZAP70","P43403","TYR","Syk",0.243733000688077,0.732976539010893,-0.142778448074515,-0.633964621122166,70
